espn_rank,espn_rank_roto,espn_auction,Name,Pos,espn_player_id
482,285,0,Kyle Finnegan,SP,36543
483,773,0,Tomoyuki Sugano,SP,4142423
484,459,0,Jake Mangum,OF,42664
485,511,0,Taylor Rogers,SP,33671
486,456,0,Luis Morales,SP,5150939
487,445,0,Christian Moore,2B,4927523
488,617,0,Nick Fortes,C,41674
489,680,0,Calvin Faucher,SP,3978173
490,849,0,Graham Ashcraft,SP,4084179
491,963,0,Marcus Stroman,SP,32815
492,596,0,Max Scherzer,SP,28976
493,339,0,Matt Svanson,SP,4649953
494,464,0,George Valera,DH,41030
495,544,0,Brad Lord,SP,4866810
496,742,0,Randy Vasquez,SP,4722847
497,745,0,Gregory Soto,SP,39804
498,835,0,Yimi Garcia,SP,32888
499,422,0,Luisangel Acuna,2B,42411
500,556,0,Bryce Elder,SP,4301067
501,1187,0,Caleb Thielbar,SP,32440
502,201,0,Anthony Volpe,SS,42547
503,524,0,Henry Davis,C,4418683
504,1262,0,Eduard Bazardo,SP,41939
505,472,0,Jake McCarthy,OF,41197
506,724,0,Aaron Civale,SP,40934
507,343,0,Paul Sewald,SP,35009
508,246,0,Jordan Lawlar,3B,4872649
509,240,0,Louis Varland,SP,4917888
510,744,0,Cole Henry,SP,4414361
511,762,0,Charlie Morton,SP,29155
512,655,0,Brendon Little,SP,39645
513,526,0,Jacob Latz,SP,3210625
514,683,0,Heriberto Hernandez,OF,42455
515,1072,0,Greg Weissert,SP,41485
516,95,0,Konnor Griffin,SS,5218285
517,652,0,Anthony Bender,SP,42171
518,878,0,Jake Irvin,SP,41290
519,587,0,Jose Trevino,C,35268
520,590,0,Chris Martin,SP,32903
521,361,0,Victor Vodnik,SP,4722599
522,630,0,Ben Joyce,SP,4867388
523,667,0,Logan Allen,SP,4683350
524,450,0,Nick Gonzales,2B,4311634
525,692,0,Drew Pomeranz,SP,31010
526,388,0,Harry Ford,C,4872682
527,889,0,Scott Barlow,SP,32156
528,309,0,Javier Baez,SS,32127
529,843,0,Ryan Thompson,SP,38628
530,606,0,Kyle Harrison,SP,4683375
531,1088,0,Pierce Johnson,SP,32777
532,488,0,Hunter Feduccia,C,41801
533,1244,0,Tyrone Taylor,OF,32783
534,1229,0,Steven Okert,SP,33716
535,525,0,Joc Pederson,DH,31392
536,284,0,Lenyn Sosa,2B,41684
537,712,0,Kutter Crawford,SP,41277
538,513,0,Seth Halvorsen,SP,5204400
539,1391,0,Brooks Raley,SP,32005
540,403,0,Dalton Rushing,C,4619839
541,490,0,Ha-Seong Kim,SS,4089862
542,567,0,Brooks Baldwin,OF,4424742
543,964,0,Tyler Kinley,SP,34166
544,769,0,Cody Bradford,SP,4142539
545,453,0,Troy Melton,SP,5294127
546,477,0,Jared Triolo,SS,42933
547,658,0,Max Muncy,3B,4872686
548,827,0,Yennier Cano,SP,35536
549,637,0,Lance McCullers Jr.,SP,32764
550,541,0,Angel Martinez,OF,42497
551,616,0,Gary Sanchez,C,31095
552,1589,0,Ryan Zeferjahn,SP,4722057
553,728,0,Justin Slaten,SP,4917925
554,1028,0,Hoby Milner,SP,36088
555,522,0,Brady House,3B,4872681
556,592,0,Spencer Arrighetti,SP,4726080
557,757,0,Aaron Ashby,SP,41325
558,1682,0,Isaac Mattson,SP,42063
559,602,0,Garrett Mitchell,OF,4313442
560,775,0,Vaughn Grissom,2B,42503
561,645,0,Bennett Sousa,SP,41776
562,492,0,Carlos Santana,1B,30280
563,466,0,Javier Sanoja,OF,5073992
564,876,0,Jimmy Herget,SP,36093
565,264,0,Connelly Early,SP,4863321
566,259,0,Bryce Eldridge,DH,5149064
567,495,0,CJ Kayfus,OF,4719337
568,1041,0,Tanner Banks,SP,40437
569,615,0,Luis Torrens,C,33805
570,3449,0,Juan Mejia,SP,5185107
571,837,0,Jose Quintana,SP,32106
572,784,0,Austin Martin,OF,4297998
573,760,0,Huascar Brazoban,SP,4916509
574,771,0,Jacob Young,OF,4414210
575,704,0,Hunter Harvey,SP,33191
576,774,0,Andre Pallante,SP,4109034
577,600,0,Luke Raley,OF,40422
578,452,0,Kristian Campbell,2B,5201569
579,1549,0,Erik Sabrowski,SP,5194333
580,594,0,Daniel Schneemann,2B,42001
581,783,0,Tommy Kahnle,SP,31867
582,1336,0,Matt Festa,SP,39871
583,537,0,Colin Rea,SP,33950
584,1092,0,Nick Mears,SP,42620
585,933,0,Endy Rodriguez,1B,4712767
586,941,0,Jose Butto,SP,4905900
587,690,0,Jordan Romano,SP,36380
588,886,0,Hunter Dobbins,SP,4415836
589,727,0,Jose Alvarado,SP,36063
590,686,0,Jake Bauers,1B,35013
591,299,0,Matt Shaw,3B,4867667
592,347,0,Paul Goldschmidt,1B,31027
593,634,0,Chase Dollander,SP,4719068
594,862,0,Mason Montgomery,SP,4424112
595,527,0,Gabriel Arias,SS,40344
596,1123,0,Anthony Banda,SP,34542
597,380,0,Robby Snelling,SP,5080753
598,598,0,Connor Wong,C,40086
599,1854,0,Michael Kelly,SP,36156
600,480,0,Joe Mack,C,4872695
